confectionery_name,province,phone_number,cost,work_start,work_end,confectionery_address,hookah,internet,delivery,smoking,open_space,live_music,parking,pos,food_quality,service,cost_value,environment,follower,lat,lon
شیرینی فروشی دیلمون (شهرآرا),شهر آرا,66532356,1,11:00:00,21:30:00,شهر آرا، خیابان گذرنامه، نبش کوچه ابوذر،پلاک76,False,False,True,False,False,False,False,True,5,5,5,5,0,35.71893315471505,51.37220777571201
شیرینی فروشی شیرین بانو,رستوران صفري,55183305,2,09:00:00,22:00:00,رستوران صفري,False,False,False,False,False,False,False,True,0,0,0,0,0,35.64314472381818,51.42114370653369
شیرینی فروشی میهن,میدان منیریه,66400047,2,08:30:00,21:00:00,میدان منیریه،خیابان معیری،پلاک 1,False,False,False,False,False,False,False,True,0,0,0,0,0,35.6815962612934,51.40100455698587
شیرینی فروشی لومیل,سعادت آباد,22378315,2,11:00:00,23:30:00,سعادت آباد،بالاتر از میدان کاج،بین ششم و چهارم,False,False,False,False,False,False,False,True,0,0,0,0,0,35.78511158320253,51.37394432091157
"کافه,بوتیک کیک مارژولن",ديباجي جنوبي,26316300,2,08:30:00,22:30:00,ديباجي جنوبي، نبش كوچه رحيمي پلاك ٣,False,False,False,False,True,False,False,True,0,0,0,0,0,35.78342887859551,51.45976727349896
"نان و شیرینی,شیرینی فروشی شکر ریز",نارمک,77971701,2,09:00:00,22:00:00,نارمک،چها راه تلفن خانه ،خیابان دکتر آیت جنوبی نرسیده به کوچه قریشی،جنب تعمیر گاه،پلاک ۱,False,False,False,False,False,False,False,True,0,0,0,0,0,35.7188334759433,51.49170108305053
"کافه,بوتیک کیک,شیرینی فروشی سوییت آنجل",شریعتی,09362619381,2,10:00:00,22:00:00,شریعتی ،دو راهی قلهک ،خیابان بصیری پلاک ۱۹,False,False,False,False,False,False,False,True,0,0,0,0,0,35.76888771205964,51.44132494926452
"نان و شیرینی,بوتیک کیک,شیرینی فروشی چهارفصل",جاده مخصوص,44980396,2,09:00:00,22:30:00,جاده مخصوص، کیلومتر 19،شهرک وردآورد چهارراه اصلی,False,False,False,False,False,False,False,True,0,0,0,0,0,35.73891013965895,51.13470554351806
بوتیک کیک خانه کیک پلاتین,خیابان کامرانیه شمالی,26115243,2,10:00:00,22:30:00,خیابان کامرانیه شمالی، نبش کوچه داریوش، پلاک ۲۹,False,False,False,False,False,False,False,True,0,0,0,0,0,35.80726610245627,51.46277189254761
شیرینی فروشی سعدی,نارمک,77816034,2,08:00:00,22:00:00,نارمک، خیابان 46 متری غربی، خیابان آپادانا، بین میدان 85 و 86، پلاک 80,False,False,False,False,False,False,False,True,0,0,0,0,0,35.71901645018298,51.48099280893802
شیرینی فروشی بابا نوئل,خیابان ظفر دستگردی,22228618,2,08:00:00,22:30:00,خیابان ظفر دستگردی، روبروی خیابان نفت,False,False,False,False,False,False,False,True,0,0,0,0,0,35.76650354587639,51.42941057682037
شیرینی فروشی باقلوا تادو,صادقیه,09128117101,2,11:00:00,22:00:00,صادقیه،اول اشرفی اصفهانی،جلال ال احمد، زیر پل یادگار امام ، مرکز خرید پاسارگاد,False,False,False,False,False,False,True,True,0,0,0,0,0,35.72547294499539,51.34905159473419
"کافه,بوتیک کیک,شیرینی فروشی لوندر (جردن)",جردن,22414672,2,07:30:00,22:00:00,جردن،نبش دستگردی،پلاک۹۹,False,False,True,False,False,False,False,True,0,0,0,0,0,35.76808465539387,51.42001211643219
شیرینی فروشی باقلوا تک سین,بلوار ميرداماد,26401456,2,09:00:00,23:00:00,بلوار ميرداماد،جنب مترو ميرداماد،نبش برج رز,False,False,False,False,False,False,False,True,0,0,0,0,0,35.76032249259888,51.43390188104102
,شهرک غرب,88075108,1,09:00:00,22:00:00,شهرک غرب ، فاز 1 ایران زمین ،مرکز تجاری گلستان,False,False,False,False,False,False,False,True,0,0,0,0,0,35.79547323102022,51.44865810871124
